Wákàtí B-DATE
ẹ̀sùn O
náà O
mọ́ra O
. O

Ọ̀ràn O
yìí O
fi O
hàn O
pé O
àwọn O
alákòóso O
ìbò O
tí O
ó O
kọjá O
kò O
ṣiṣẹ́ O
láì O
lọ́wọ́ O
àwọn O
alágbára O
ń'nú O
. O

Ishaku B-PER
Elisha I-PER
Abbo I-PER
ti O
ẹgbẹ́ O
alátakò O
People’s B-ORG
Democratic I-ORG
Party I-ORG
( O
PDP B-ORG
) O
jẹ́ O
aṣojú O
tí O
ó O
ń O
ṣojú O
Ẹkùn O
- O
un O
Àríwá B-LOC
Adamawa I-LOC
ní O
Ìpínlẹ̀ O
Adamawa B-LOC
, O
ní O
ìlà B-LOC
- I-LOC
oòrùn I-LOC
àríwá I-LOC
orílẹ̀ I-LOC
èdèe I-LOC
Nàìjíríà I-LOC
. O

Nínú O
oṣù B-DATE
Agẹmọ I-DATE
2019 I-DATE
, O
ní O
ìṣojú O
ọlọ́pàá O
, O
Abbo B-PER
ṣe O
àṣemáṣe O
pẹ̀lú O
òṣìṣẹ́bìnrin O
kan O
nínú O
ìsọ̀ O
ohun O
ìbálòpọ̀ O
ní O
olú O
- O
ìlú O
Nàìjíríà B-LOC
ní O
Abuja B-LOC
. O

Moro B-PER
gbà O
nínú O
of O
owó O
ìwáṣẹ̀ O
tí O
àwọn O
awáṣẹ́ O
san O
tí O
ó O
ń O
lọ O
bíi O
ẹgbẹẹgbẹ̀rún O
675 O
owóo O
naira O
[ O
$ O
1 O
. O
8 O
USD O
] O
. O

Nínú O
gbólóhùn O
kan O
, O
Amnesty B-ORG
International I-ORG
fajúro O
sí O
lílo O
“ O
àwọn O
òfin O
tí O
ó O
ń O
fìdìí O
ìfojú O
ẹ̀tọ́ O
ọmọnìyàn O
gbolẹ̀ O
múlẹ̀ O
"""" O
nítorí O
pé O
kò O
ní O
pa O
àwọn O
ọmọ O
Nàìjíríà B-LOC
lẹ́nu O
mọ́ O
“ O
láti O
máà O
sọ O
èrò O
ọkàn O
- O
an O
wọn O
"""" O
tí O
yóò O
sì O
tún O
“ O
rán O
wọn O
lọ O
s'ẹ́wọ̀n O
fún O
wípé O
wọ́n O
ṣe O
bẹ́ẹ̀ O
. O
"""" O

Lábẹ́ O
àbùradà O
à O
ń O
dẹ́kun O
gbólóhùn O
irọ́ O
àti O
ọ̀rọ̀ O
àhesọ O
, O
ń O
gbèrò O
ìṣòfin O
tí O
kò O
ní O
ìfẹ́ O
ará O
ìlú O
lọ́kàn O
. O

Kà O
síwájú O
sí O
i O
: O

Ẹ̀rọ O
alátagbà O
fa O
ọ̀rọ̀ O
ìkórìíra O
ẹlẹ́yàmẹ́lẹ́yá O
, O
ìròyìn O
tí O
kò O
pójú O
òṣùwọ̀n O
àti O
ọ̀rọ̀ O
ẹ̀tàn O
lásìkò O
ìdìbò O
ààrẹ O
ọdún B-DATE
- I-DATE
un I-DATE
2019 I-DATE

Twitter B-ORG
di O
pápá O
ogun O
fún O
gbólóhùn O
irọ́ O
lásìkò O
ìdìbò O
orílẹ̀ O
- O
èdèe O
Nàìjíríà B-LOC
ọdún B-DATE
- I-DATE
un I-DATE
2019 I-DATE

‎Èyí O
ni O
ìgbà O
tí O
àwọn O
ayàwòrán O
ń O
ṣiṣẹ́ O
. O

Ìgbìmọ̀ọtẹ̀ẹ́kótó O
náà O
yóò O
sì O
jábọ̀ O
àbájáde O
àyẹ̀wòo O
rẹ̀ O
fún O
Ìgbìmọ̀ O
àgbà O
, O
láti O
gbé O
e O
yẹ̀ O
wò O
, O
tí O
wọn O
yóò O
tẹ O
òmíràn O
jáde O
fún O
àyẹ̀wò O
tí O
ó O
kẹ́yìn O
, O
kí O
ààrẹ O
ó O
tó O
bu O
ọwọ́ O
lù O
ú O
. O

'Èyí O
ni O
ìpinnu O
tí O
ó O
dára O
jù O
lọ O
tí O
ilé O
- O
ẹjọ́ O
yóò O
ṣe' O

Fanny B-PER
Schertzer I-PER
ni O
ó O
ya O
àwòrán O
, O
a O
lò O
ó O
pẹ̀lú O
àṣẹ O
láti O
Wikimedia B-ORG
Commons I-ORG
, O
CC O
BY O
2 O
. O
0 O
. O

Gẹ́gẹ́ O
bí O
United B-ORG
Nations I-ORG
Population I-ORG
Fund I-ORG
( O
UNFPA B-ORG
) O
ti O
ṣe O
wí O
, O
Tanzania B-LOC
ni O
ìsoyìgì O
ọmọdé O
pọ̀ O
sí O
jù O
lọ O
lágbàáyé O
. O

Àwọn O
kan O
kí O
Rebeca B-PER
Z I-PER
. O

Lọ́dún B-DATE
- I-DATE
un I-DATE
2016 I-DATE
, O
Gyumi B-PER
na O
ọwọ́ O
ìka O
àbùkù O
sí O
agbára O
Òfin O
Ìgbéyàwó O
; O
Law O
of O
Marriage O
Act O
, O
2002 B-DATE
( O
LMA O
) O
tí O
ó O
gba O
obìnrin O
tí O
kò O
tó O
ọmọ O
ọdún B-DATE
méjìdínlógún I-DATE
láyè O
láti O
ṣe O
ìgbéyàwó O
. O

Gẹ́gẹ́ O
bí O
ìwádìí O
nípa O
ìlera O
Tanzania B-LOC
Demographic O
and O
Health O
Survey O
( O
TDHS O
) O
ṣe O
ti O
ṣàlàyé O
, O
ìdá O
36 O
obìnrin O
tí O
ọjọ́ O
oríi O
wọ́n O
wà O
ní O
25 B-DATE
- I-DATE
49 I-DATE
ní O
í O
ṣe O
ìgbéyàwó O
kí O
wọn O
ó O
tó O
pé O
ọmọ O
ọdún B-DATE
méjìdínlógún I-DATE
, O
tí O
àwọn O
akẹgbẹ́ẹ O
wọn O
lọ́kùnrin O
sí O
jẹ́ O
ìdá O
5 O
. O

Nípasẹ̀ O
àwọn O
aṣojú O
rẹ̀ O
, O
Gyumi B-PER
ṣàlàyé O
wípé O
àlàálẹ̀ O
LMA O
kọ O
iyán O
obìnrin O
kéré O
nítorí O
pé O
ó O
fún O
àwọn O
ọkùnrin O
ní O
àǹfààní O
ju O
àwọn O
obìnrin O
lọ O
. O

Nípasẹ̀ O
aṣojú O
àgbà O
àwọn O
adájọ́ O
, O
a O
pa O
ìjọba O
láṣẹ O
láti O
gbé O
ọjọ́ O
orí O
ìgbéyàwó O
sí O
ọdún B-DATE
méjìdínlógún I-DATE
fún O
obìnrin O
àti O
ọkùnrin O
. O

Àyè O
fún O
àtúnpè O
- O
ẹjọ́ O

Mbuya O
sọ O
wípé O
ìyàtọ̀ O
ìwà O
ẹ̀dá O
fi O
ọmọdékùnrin O
àti O
ọmọdébìnrin O
sí O
“ O
ìsọ̀rí O
ọ̀tọ̀ọ̀tọ̀ O
"""" O
àti O
pé O
, O
òfin O
fi O
ojú O
ọ̀tọ̀ọ̀tọ̀ O
wò O
wọ́n O
. O

Ní O
ti O
àjọ O
United B-ORG
Nations I-ORG
, O
kí O
a O
tó O
lè O
yege O
níbi O
ti O
dídọ́gba O
abo O
atakọ O
ní O
ọdún B-DATE
- I-DATE
un I-DATE
2030 I-DATE
, O
ìjọba O
ní O
láti O
ṣe O
àyípadà O
òfin O
ìyàsọ́tọ̀ọtọ̀ O
àti O
ṣíṣe O
àmúlò O
ìṣòfin O
tí O
yóò O
mú O
ìmúdọ́gba O
tí O
à O
ń O
sọ O
wáyé O
. O

Ní O
Tanzania B-LOC
, O
ìgbéyàwó O
ọmọdébìnrin O
kì O
í O
jẹ O
kí O
ọmọdébìnrin O
ó O
kàwé O
tí O
wọn O
kò O
sì O
ní O
àǹfààní O
láti O
parí O
ẹ̀kọ́ọ O
wọn O
, O
gẹ́gẹ́ O
bí O
èsì O
ìwádìí O
láti O
Tanzania B-LOC
National O
Survey O
, O
2017 B-DATE
ṣe O
ní O
i O
lákọsílẹ̀ O
. O

Ọ̀kọrin O
tàkasúfèé O
tí O
ó O
jẹ́ O
ọmọ O
orílẹ̀ O
èdèe O
Amẹ́ríkà B-LOC
Kanye B-PER
West I-PER
gbé O
àríyá O
“ O
Ìsìn O
Ọjọ́ O
Ọ̀sẹ̀ O
"""" O
pop O
- O
up O
concert O
wá O
sí O
Kingston B-LOC
, O
Jamaica B-LOC
, O
ní O
kété O
tí O
ìsinmi O
ọjọ́ O
ọ̀sẹ̀ O
fún O
Àyájọ́ O
Ọjọ́ O
Àwọn O
Málegbàgbé O
Ọmọ O
Orílẹ̀ O
- O
èdè O
náà O
( O
19 B-DATE
- I-DATE
21 I-DATE
, I-DATE
oṣù I-DATE
Ọ̀wàrà I-DATE
ọdún I-DATE
- I-DATE
un I-DATE
2019 I-DATE
) O
yóò O
bẹ̀rẹ̀ O
. O

Ọdún B-DATE
- I-DATE
un I-DATE
2002 I-DATE
ni O
gbàgede O
náà O
di O
lílò O
ní O
ìbọ̀wọ̀ O
fún O
“ O
òmìnira O
dójú O
àmì O
"""" O
fún O
àwọn O
ẹrú O
300 O
, O
000 O
ní O
Jamaica B-LOC
lọ́jọ́ B-DATE
1 I-DATE
, I-DATE
oṣù I-DATE
kẹjọ I-DATE
ọdún I-DATE
- I-DATE
un I-DATE
1838 I-DATE
. O

Láì O
sí O
àní O
- O
àní O
, O
àríyá O
náà O
lọ O
ní O
ìrọwọ́ O
- O
ìrọsẹ̀ O
, O
ẹgbẹẹgbẹ̀rún O
lọ́nà O
ẹgbẹ̀rún O
àwọn O
Nev O
orílẹ̀ O
- O
èdèe O
Jamaica B-LOC
gbádùn O
- O
un O
àríyá O
náà O
tí O
àwọn O
iléeṣẹ́ O
agbóhùnsáfẹ́fẹ́ O
orílẹ̀ O
èdèe O
Jamaica B-LOC
náà O
gba O
ìgbóríyìn O
fún O
iṣẹ́ O
takuntakun O
tí O
wọ́n O
ṣe O
: O

Mo O
ti O
ṣe O
àkíyèsí O
wípé O
Iléeṣẹ́ B-ORG
Ètò I-ORG
Àṣà I-ORG
àti I-ORG
Olùdarí I-ORG
ìlúu I-ORG
Kingston I-ORG
ti O
ń O
gbé O
ìgbésẹ̀ẹ O
pàjáwìrì O
láti O
ra O
nǹkan O
padà O
. O

Àtẹ̀jáde O
ìtúmọ̀ O
17 B-DATE
Ọ̀wàrà I-DATE
2019 I-DATE
4 I-DATE
: I-DATE
03 I-DATE
GMT I-DATE

Àgékù O
ohun O
tí O
ó O
ń O
ṣẹlẹ̀ O
ní O
Guinea B-LOC
láti O
ìròyìn O
ránpẹ́ O
France B-ORG
24 I-ORG
kan O
. O

Àwọn O
afẹ̀hónúhàn O
ti O
rán O
ẹni O
mẹ́fà O
sí O
ọ̀run O
àjànto O
, O
ní O
èyí O
tí O
ó O
jẹ́ O
pé O
ọlọ́pàá O
kan O
wà O
nínúu O
àwọn O
tí O
ó O
jẹ́ O
Ògún O
nípè O
, O
ọ̀pọ̀ O
èèyàn O
ló O
sì O
fi O
ara O
pa O
. O

Kà O
síwájú O
sí O
i O
: O
Àwọn O
ẹ̀ṣọ́ O
aláàbò O
ní O
Guinea B-LOC
ti O
ní O
àṣẹ O
láti O
lo O
ohun O
ìjà O
aṣekúpani O

Àwọn O
afẹ̀hónúhàn O
kò O
lọ́wọ́ O
sí O
kílàńkó O
àyípadà O
sí O
ìwé O
- O
òfin O
tí O
wọ́n O
rí O
gẹ́gẹ́ O
bí O
ìgbésẹ̀ O
ààrẹ O
láti O
wà O
lórí O
ipò O
fún O
ẹlẹ́ẹ̀kẹ́ta O
. O

Ní O
tòótọ́ O
, O
ìwé O
- O
òfin O
náà O
fi O
ààyè O
ọdún B-DATE
méjì I-DATE
gba O
ẹni O
tí O
ó O
bá O
wà O
ní O
ipò O
ààrẹ O
láti O
ṣèjọba O
. O

Àwọn O
afẹ̀hónúhàn O
ni O
a O
lè O
ṣá O
lọ́gbẹ́ O
jù O
lọ O
nítorí O
wípé O
wọ́n O
tasẹ̀ O
àgẹ̀rẹ̀ O
sí O
òfin O
náà O
bí O
Human B-ORG
Rights I-ORG
Watch I-ORG
ṣe O
pè O
fún O
àkíyèsí O
: O

Ní O
ti O
ìṣẹ̀lẹ̀ O
òṣèlú O
náà O
, O
àjọ O
ọba O
náà O
ń O
kéde O
iṣẹ́ O
- O
ìjẹ́ O
tí O
ó O
ń O
tako O
ara O
wọn O
: O
Ní O
ọjọ́ B-DATE
13 I-DATE
, I-DATE
oṣù I-DATE
Ọ̀wàrà I-DATE
Ààrẹ O
Condé B-PER
fẹ́ O
ìsọ̀rọ̀ O
- O
ní O
- O
tùnbí O
- O
ǹ O
- O
nùbí O
: O

Alpha B-PER
Condé I-PER
ti O
pè O
fún O
ìsọ̀rọ̀ O
ní O
tùnbíǹnùbí O
ó O
sì O
fẹ́ O
kí O
ìjókòó O
gẹ́gẹ́ O
bí O
tọmọtìyá O
tí O
yóò O
fi O
pẹ̀lẹ́pùtù O
yanjú O
gbọ́nmi O
- O
síi O
- O
omi O
- O
ò O
- O
tóo O
tí O
ó O
ń O
ṣẹlẹ̀ O
àti O
ọ̀nà O
àbáyọ O
sí O
àwọn O
ìpèníjà O
tí O
ó O
ń O
kojú O
orílẹ̀ O
- O
èdè O
náà O
. O

Síbẹ̀ O
, O
Ahmed B-PER
Tidiane I-PER
Traoré I-PER
, O
olùdámọ̀ràn O
ipò O
ààrẹ O
, O
sọ O
lọ́jọ́ O
tí O
ó O
tẹ̀lé O
e O
, O
ìyẹn O
ní O
ọjọ́ B-DATE
12 I-DATE
oṣù I-DATE
Ọ̀wàrà I-DATE
, O
— O
ọjọ́ B-DATE
méjì I-DATE
kí O
ìfẹ̀hònúhàn O
ó O
tó O
bẹ̀rẹ̀ O
, O
— O
fún O
àwọn O
èrò O
tó O
jẹ́ O
ọ̀dọ́ O
langba O
RPG B-ORG
ẹgbẹ́ O
olóṣèlúu O
[ O
ruling O
Reunion B-ORG
of I-ORG
the I-ORG
People I-ORG
of I-ORG
Guinea I-ORG
] O
: O

Ìtúmọ̀ O
Ìtúnwí O
- O
ọ̀rọ̀ O
Ọlọ́rọ̀ O
gan O
- O
an O

Gbogbo O
àwọn O
oníṣẹ́ O
- O
ibi O
ni O
ó O
di O
àwárí O
tí O
a O
ó O
fi O
ojúu O
wọn O
hàn O
f'áráyé O
rí O
. O

Káràkátà O
dẹnu O
kọlẹ̀ O
ní O
àárín O
gbùngbùn O
ibi O
ìṣàkóso O
ìlú O
ní O
Kalou B-LOC
. O

Àwọn O
tí O
ó O
wà O
ní O
Àárín O
àti O
Odò O
orílẹ̀ O
èdè O
Guinea B-LOC
náà O
gbọ́ O
ìpè O
, O
wọ́n O
sì O
darapọ̀ O
mọ́ O
àwọn O
ọmọ O
ìlú O
tó O
kù O
. O

Ní O
oríi O
benbere O
. O
org O
, O
gbàgede O
ìtàkùrọ̀sọ O
fún O
àwọn O
ọ̀dọ́ O
ní O
Mali B-LOC
, O
akọ̀ròyin O
búlọ́ọ̀gù O
Adam B-PER
Thiam I-PER
kọ O
: O

Àwọn O
ọmọ O
ìlú O
orí O
ayélujára O
fajúro O
sí O
ìṣẹ̀lẹ̀ O
náà O
lórí O
ẹ̀rọ O
alátagbà O
: O

Ní O
báyìí O
ṣá O
, O
ọkọ̀ O
ojú O
omi O
ti O
ń O
ré O
. O

Lọ́jọ́ B-DATE
15 I-DATE
oṣù I-DATE
Ọ̀wàrà I-DATE
, O
akọ̀ròyin O
Guinea B-LOC
Bhiye B-PER
Bary I-PER
kọ O
: O

( O
Àwòrán O
ní O
ìpamọ́ O
) O
# O
Amoulanfe O
# O
Kibaro O
# O
Guinee O
pic O
. O
twitter O
. O
com O
/ O
xk6xax8DT0 O

Nkola B-PER
Matamba I-PER
, O
òǹkọ̀wé O
àti O
ajàfẹ́tọ̀ọ́ O
ọmọnìyan O
tí O
ó O
jẹ́ O
ọmọ O
Ìlú B-LOC
Olómìnira I-LOC
Ìjọba I-LOC
ara I-LOC
wa I-LOC
ti I-LOC
Congo I-LOC
, O
fi O
ìbánújẹ́ O
ọkàn O
hàn O
: O

Ọmọ O
ẹgbẹ́ O
alátakò O
ìgbàkan O
, O
tí O
ó O
wá O
fẹ́ O
yí O
òfin O
padà O
nítorí O
ìfẹ́ O
ara O
rẹ̀ O
kí O
ó O
ba O
ṣèjòba O
fún O
ìgbà O
kẹta O
, O
bóyá O
kí O
ó O
bá O
jẹ O
gàba O
títí O
tí O
Ọlọ́jọ́ O
yóò O
fi O
dé O
, O
Alpha B-PER
Condé I-PER
gan O
- O
an O
ni O
àpẹẹrẹ O
ibi O
tí O
ó O
ń O
fa O
ìfàsẹ́yìn O
fún O
Ilẹ̀ B-LOC
- I-LOC
Adúláwọ̀ I-LOC
! O

# O
GUINÉE O
– O
ó O
jẹ́ O
ohun O
ìyàlẹ́nu O
. O

Sísíwín O
àwọn O
olóṣèlú O
tí O
ó O
fẹ́ O
kú O
sórí O
ipò O
ààrẹ O
yìí O
ti O
ń O
pọ̀ O
jù O
Amoulanfe B-PER
— I-PER
Cheikh I-PER
Fall I-PER
™ O
( O
@ O
cypher007 O
) O
ọjọ́ B-DATE
14 I-DATE
, I-DATE
oṣù I-DATE
Ọ̀wàrà I-DATE
2019 I-DATE

Ajìjàǹgbara O
Guinea B-LOC
Macky B-PER
Darsalam I-PER
sọ O
ti O
ìgbésẹ̀ O
láti O
tọwọ́ O
bọ O
èròńgbà O
àwọn O
ará O
ìlú O
lójú O
: O

Boniface B-PER
Igbeneghu I-PER
, O
Ifásitì B-ORG
Èkó I-ORG
, O
tí O
a O
ká O
ìwà O
àṣemáṣe O
pẹ̀lú O
àwọn O
akẹ́kọ̀ọ́bìrin O
nínú O
ìwádìí O
abẹ́lẹ̀ O
tí O
BBC B-ORG
ṣe O
. O

A O
rí O
Igbeneghu B-PER
nínúu O
ètòo O
BBC B-ORG
náà O
tí O
ó O
kọ O
ẹnu O
ìfẹ́ O
sí O
ọmọdébìnrin O
tí O
ó O
díbọ́n O
gẹ́gẹ́ O
bí O
ọmọ O
ọlọ́jọ́ O
orí O
mẹ́tàdínlógún O
tí O
ó O
ń O
wà O
ìgbanisílé O
ẹ̀kọ́ O
láì O
fura O
wípé O
ajábọ̀ O
ìròyìn O
tí O
ó O
ń O
ṣe O
iṣẹ́ O
ìwádìí O
abẹ́lẹ̀ O
fún O
BBC B-ORG
ni O
ó O
ń O
ṣe O
. O

Ìjọ B-ORG
Ajíhìnrere I-ORG
Foursquare I-ORG
ti O
dá O
Igbeneghu B-PER
dúró O
“ O
lẹ́nu O
iṣẹ́ O
ìhìn O
rere O
"""" O
. O

Bákan O
náà O
, O
Ifásitì B-ORG
Èkó I-ORG
ti O
lé O
Igbeneghu B-PER
kúrò O
ní O
ilé O
ìwé O
wọ́n O
sì O
ti O
sún O
ìpèré O
sí O
ẹ̀hìn O
ilẹ̀kùn O
ilé O
òṣìṣẹ́ O
tí O
wọ́n O
ń O
pè O
ní O
“ O
yàrá O
tútù O
, O
"""" O
tí O
àwọn O
ọ̀gá O
olùkọ́ni O
ti O
máa O
ń O
ṣe O
àríyá O
níbi O
tí O
wọ́n O
ti O
máa O
ń O
gba O
àwọn O
ọ̀ṣọ́rọ̀ O
ọmọge O
lálejò O
. O

Púpọ̀ O
nínú O
àwọn O
òǹlò O
tí O
ó O
jẹ́ O
abo O
ní O
oríi O
Twitter B-ORG
fi O
ẹ̀dùn O
ọkàn O
- O
an O
wọn O
hàn O
nípa O
ìríríi O
wọn O
lóríi O
ìwà O
erée O
gélé O
ti O
ìbálòpọ̀ O
: O

Síbẹ̀ O
, O
Àjọ B-ORG
Olùkọ́ni I-ORG
Ifásitìi I-ORG
Nàìjíríà I-ORG
kọ O
ẹ̀yìn O
sí O
ìwé O
àbá O
yìí O
, O
wọ́n O
ní O
ó O
kọ O
iyán O
àwọn O
kéré O
, O
nítorí O
ó O
kọjú O
ìjà O
sí O
àwọn O
olùkọ́ O
àti O
wípé O
ó O
yẹpẹrẹ O
àṣẹ O
àti O
agbára O
ilé O
ẹ̀kọ́ O
gíga O
. O

Fún O
ọdún B-DATE
mẹ́fà I-DATE
tí O
ó O
ré O
kọjá O
lọ O
, O
Fátóyìnbó B-PER
aródẹ́dẹ́ O
ti O
rí O
ìfẹ̀sùnkàn O
ìfipábánilòpọ̀ O
ọ̀kan O
- O
ò O
- O
jọ̀kan O
. O

Ìpèsí O
àkíyèsí O
ilé O
ìjọsìn O
náà O
# O
ChurchToo O
movement O
rọ O
ìjọba O
láti O
da O
“ O
ọ̀ràn O
- O
an O
ìjìyà O
obìnrin O
àti O
ọmọdébìnrin O
dúrò O
. O
"""" O

Ó O
fún O
àwọn O
obìnrin O
ní O
àǹfààní O
láti O
wí O
ti O
ẹnu O
wọn O
. O

Ilé B-ORG
- I-ORG
ẹ̀kọ́ I-ORG
Orin I-ORG
Kíkọ I-ORG
Àwọn I-ORG
Orílẹ̀ I-ORG
- I-ORG
èdè I-ORG
Dhow I-ORG
f'orin O
ṣègbélárugẹ O
àṣàa O
Swahili O

DCMA B-ORG
ló O
ni O
àwòrán O
. O

Ẹgbẹẹgbẹ̀rún O
àlejò O
tí O
ó O
ń O
rọ́ O
wìtìwìtì O
wá O
sí O
ìlú O
Stone B-LOC
Town I-LOC
, O
Zanzibar B-LOC
tí O
ó O
kún O
fún O
ìṣẹ̀lẹ̀ O
àtẹ̀yìnwá O
, O
ti O
tẹ̀lé O
ìró O
orin O
Iléèwé B-ORG
Orin I-ORG
kíkọ I-ORG
Àwọn I-ORG
Orílẹ̀ I-ORG
- I-ORG
èdèe I-ORG
Dhow I-ORG
( O
DCMA B-ORG
) O
, O
ilé O
ẹ̀kọ́ O
orin O
kíkọ O
tí O
ó O
ń O
ṣe O
ìgbélárugẹ O
àti O
ìpamọ́ O
àwọn O
àṣà O
orin O
erékùṣù O
náà O
tí O
ó O
sún O
mọ́ O
Swahili O
ní O
ẹ̀báa O
Omi B-LOC
Òkun I-LOC
India I-LOC
. O

Gẹ́gẹ́ O
bí O
Ilé B-ORG
Ìfowópamọ́ I-ORG
Àgbáyé I-ORG
ṣe O
ti O
ṣàlàyé O
wípé O
, O
pẹ̀lú O
bí O
a O
ti O
ṣe O
mọ O
agbègbè O
tí O
iléèwé O
náà O
wà O
fún O
ibi O
ìrìn O
- O
àjò O
ìgbafẹ́ O
nítorí O
àwọn O
etíkun O
àtijọ́ O
àti O
ilé O
ìtura O
olówó O
ńláńlá O
tí O
ó O
kángun O
síbẹ̀ O
, O
ọ̀gọ̀rọ̀ O
àwọn O
ọmọ O
ìbílẹ̀ O
ló O
ń O
bá O
àìníṣẹ́ O
lọ́wọ́ O
pò O
ó O
pàápàá O
bí O
ìṣẹ́ O
ṣe O
ti O
gbé O
fúkẹ́ O
ju O
ti O
ìgbà O
kan O

Orírun O
àwọn O
olóhùn O
- O
iyò O
akọrin O
taarab O
, O
Siti B-PER
Binti I-PER
Saad I-PER
àti O
Fatuma B-PER
Binti I-PER
Baraka I-PER
, O
tí O
a O
tún O
mọ̀ O
sí O
Bi B-PER
. O

Kidude B-PER
, O
